"Day","Product title","Orders","Gross sales","Discounts","Returns","Net sales","Shipping charges","Duties","Additional fees","Taxes","Total sales"
"2026-03-06","Team LogOX Sticker",18,0,0,0,0,0,0,0,0,0
"2026-03-06","CarryOX Gear Bag",2,129.9,-6.49,0,123.41,0,0,0,0,123.41
"2026-03-06",,0,0,0,0,0,0,0,0,0,0
"2026-03-06","LogOX Hauler",3,585,-29.5,0,555.5,0,0,0,0,555.5
"2026-03-06","WoodOX Sling*",1,89.95,0,0,89.95,0,0,0,0,89.95
"2026-03-07",,0,0,0,0,0,13.28,0,0,0,13.28
"2026-03-07","LogOX Forester Package",2,790,0,0,790,0,0,0,0,790
"2026-03-07","Granberg Precision Grinder (12V)",1,109,0,0,109,0,0,0,0,109
"2026-03-07","LogOX Can Cooler",12,0,0,0,0,0,0,0,0,0
"2026-03-07","LogOX 3-in-1 Forestry MultiTool*",1,289,-289,0,0,0,0,0,0,0
"2026-03-07","The Woodsman Bundle",1,328.95,-32.89,0,296.06,0,0,0,0,296.06
"2026-03-07","LogOX 3-in-1 Forestry MultiTool",19,5491,-606,-2,4883,0,0,0,0,4883
"2026-03-07","LogOX Can Coolers (4 pack)",1,4.95,0,0,4.95,0,0,0,0,4.95
"2026-03-07","Team LogOX Sticker",12,0,0,0,0,0,0,0,0,0
"2026-03-08","LogOX Hauler",3,585,-10,0,575,0,0,0,0,575
"2026-03-08",,0,0,0,-289,-289,27.33,0,0,0,-261.67
"2026-03-08","Team LogOX Sticker",7,0,0,0,0,0,0,0,0,0
"2026-03-08","LogOX Professional Work Belt",1,44.95,0,0,44.95,0,0,0,0,44.95
"2026-03-08","LogOX Hauler Holster",1,39.95,-7.99,0,31.96,0,0,0,0,31.96
"2026-03-08","LogOX Forester Package",2,790,-49.5,0,740.5,0,0,0,0,740.5
"2026-03-08","LogOX 3-in-1 Forestry MultiTool",11,3179,-28.52,0,3150.48,0,0,0,17.34,3167.82
"2026-03-08","LogOX Can Cooler",7,0,0,0,0,0,0,0,0,0
"2026-03-08","PickOX Pickaroon Attachment",1,49.95,-1.48,0,48.47,0,0,0,0,48.47
"2026-03-09","Chain Locker Original",1,38,-1.16,0,36.84,0,0,0,0,36.84
"2026-03-09","LogOX Professional Work Belt",1,44.95,0,0,44.95,0,0,0,0,44.95
"2026-03-09","Team LogOX Sticker",8,0,0,0,0,0,0,0,0,0
"2026-03-09","LogOX Forester Package Upgrade",1,135,-27,0,108,0,0,0,0,108
"2026-03-09","LogOX 3-in-1 Forestry MultiTool",8,2312,-8.84,0,2303.16,0,0,0,20.23,2323.39
"2026-03-09",,0,0,0,0,0,28.95,0,0,0.7,29.65
"2026-03-09","WoodOX Sling",1,89.95,0,0,89.95,0,0,0,0,89.95
"2026-03-09","LogOX Hauler",3,585,-22,0,563,0,0,0,0,563
"2026-03-09","PICKOX TIP REPLACEMENT",1,6.95,0,0,6.95,0,0,0,0,6.95
"2026-03-09","The Mingo Marker (All Wheel Bundle)",1,60.99,0,0,60.99,0,0,0,0,60.99
"2026-03-09","PickOX Pickaroon Attachment",1,49.95,0,0,49.95,0,0,0,3.5,53.45
"2026-03-09","LogOX Hat",1,0,0,0,0,0,0,0,0,0
"2026-03-09","TimberOX Summit 30-Ton Log Splitter",1,5995,0,0,5995,0,0,0,0,5995
"2026-03-09","LogOX Can Cooler",8,0,0,0,0,0,0,0,0,0
"2026-03-09","LogOX Forester Package",2,790,-39.5,0,750.5,0,0,0,0,750.5
"2026-03-09","Set of (3) LogOX Swing-Lock Connection Pins",1,28.5,0,0,28.5,0,0,0,0,28.5
"2026-03-10","LogOX Forester Package",1,395,-10,0,385,0,0,0,0,385
"2026-03-10","LogOX Forester Package Upgrade",1,135,-27,0,108,0,0,0,0,108
"2026-03-10","LogOX 3-in-1 Forestry MultiTool",9,2601,-28.9,-289,2283.1,0,0,0,0,2283.1
"2026-03-10","The Woodsman Bundle",1,328.95,-10,0,318.95,0,0,0,0,318.95
"2026-03-10","LogOX Hauler",1,195,0,0,195,0,0,0,0,195
"2026-03-10","Team LogOX Sticker",11,0,0,0,0,0,0,0,0,0
"2026-03-10","LogOX 3-in-1 Forestry MultiTool $249",1,289,0,0,289,0,0,0,16.86,305.86
"2026-03-10","LogOX Hat",1,0,0,0,0,0,0,0,0,0
"2026-03-10","LogOX Can Cooler",10,0,0,0,0,0,0,0,0,0
"2026-03-10",,0,0,0,0,0,0,0,0,0,0
"2026-03-11","PickOX Pickaroon Attachment",1,49.95,-49.95,0,0,0,0,0,0,0
"2026-03-11","CarryOX Gear Bag",1,64.95,-1.84,0,63.11,0,0,0,0,63.11
"2026-03-11","Team LogOX Sticker",12,0,0,0,0,0,0,0,0,0
"2026-03-11","LogOX Hauler Holster*",2,79.9,0,-39.95,39.95,0,0,0,0,39.95
"2026-03-11","LogOX Hauler",2,390,-12,0,378,0,0,0,0,378
"2026-03-11","LogOX Forester Package",1,395,0,0,395,0,0,0,0,395
"2026-03-11","Chain Locker Pro Series",1,120,-10,0,110,0,0,0,0,110
"2026-03-11","LogOX Can Cooler",12,0,0,0,0,0,0,0,0,0
"2026-03-11",,0,0,0,-423.9,-423.9,29.95,0,0,0,-393.95
"2026-03-11","CarryOX Gear Bag*",1,64.95,-6.5,0,58.45,0,0,0,0,58.45
"2026-03-11","LogOX 3-in-1 Forestry MultiTool",12,3468,-85.95,0,3382.05,0,0,0,0,3382.05
"2026-03-11","PICKOX TIP REPLACEMENT",1,6.95,0,0,6.95,0,0,0,0,6.95
"2026-03-11","LogOX Forester Package Upgrade",0,135,-27,0,108,0,0,0,0,108
"2026-03-11","The Mingo Bundle Includes 14in 16in 18in and extra Trigger",1,59.99,0,0,59.99,0,0,0,0,59.99
"2026-03-12","Granberg Precision Grinder (12V)",1,109,-1.83,0,107.17,0,0,0,0,107.17
"2026-03-12","LogOX Hat",1,0,0,0,0,0,0,0,0,0
"2026-03-12","Team LogOX Sticker",5,0,0,0,0,0,0,0,0,0
"2026-03-12","LogOX 3-in-1 Forestry MultiTool",3,867,0,0,867,0,0,0,0,867
"2026-03-12","LogOX Forester Package Upgrade",1,135,-27,0,108,0,0,0,0,108
"2026-03-12","LogOX Hauler",2,390,-29.5,0,360.5,0,0,0,0,360.5
"2026-03-12","WoodOX Sling",1,89.95,-1.52,0,88.43,0,0,0,0,88.43
"2026-03-12","LogOX Professional Work Belt",1,48.95,0,0,48.95,0,0,0,0,48.95
"2026-03-12",,0,0,0,0,0,13.8,0,0,0,13.8
"2026-03-12","The Woodhaven 4ft Firewood Rack",1,188.95,0,0,188.95,0,0,0,0,188.95
"2026-03-12","LogOX Can Cooler",4,0,0,0,0,0,0,0,0,0
"2026-03-12","LogOX Forester Package",2,790,-6.65,0,783.35,0,0,0,0,783.35
"2026-03-13","LogOX Hat",1,0,0,0,0,0,0,0,0,0
"2026-03-13","LogOX Hauler",5,975,-28.29,0,946.71,0,0,0,25.35,972.06
"2026-03-13","WoodOX Sling",1,89.95,-10,-79.95,0,0,0,0,0,0
"2026-03-13","The Woodsman Bundle",1,328.95,0,0,328.95,0,0,0,0,328.95
"2026-03-13","The LogOX Ultimate Bundle",1,594,-59.4,0,534.6,0,0,0,0,534.6
"2026-03-13","Team LogOX Sticker",10,0,0,0,0,0,0,0,0,0
"2026-03-13","LogOX 3-in-1 Forestry MultiTool",9,2601,-357.9,0,2243.1,0,0,0,0,2243.1
"2026-03-13","LogOX Hauler Holster",1,39.95,0,0,39.95,0,0,0,0,39.95
"2026-03-13","LogOX Forester Package",3,1185,-40,0,1145,0,0,0,0,1145
"2026-03-13",,0,0,0,-89.95,-89.95,71.73,0,0,5.45,-12.77
"2026-03-13","Granberg Precision Grinder (12V)",1,109,0,0,109,0,0,0,0,109
"2026-03-13","PickOX Pickaroon Attachment",1,49.95,0,0,49.95,0,0,0,0,49.95
"2026-03-13","The Woodhaven Fire Starters",1,65,0,0,65,0,0,0,0,65
"2026-03-13","LogOX Can Cooler",9,0,0,0,0,0,0,0,0,0
"2026-03-13","LogOX Hauler Holster*",1,39.95,-1.71,0,38.24,0,0,0,0,38.24
"2026-03-13","LogOX 3-in-1 Forestry MultiTool*",1,289,-289,0,0,0,0,0,0,0
"2026-03-14","The Woodhaven 8ft Firewood Rack",1,239,0,0,239,0,0,0,0,239
"2026-03-14","Team LogOX Sticker",9,0,0,0,0,0,0,0,0,0
"2026-03-14",,0,0,0,0,0,30,0,0,0,30
"2026-03-14","LogOX Hauler",2,390,0,-195,195,0,0,0,0,195
"2026-03-14","Show Chainlocker Original",1,30,0,0,30,0,0,0,0,30
"2026-03-14","PickOX Pickaroon Attachment",3,149.85,0,0,149.85,0,0,0,0,149.85
"2026-03-14","Set of (3) LogOX Swing-Lock Connection Pins",1,9.5,0,0,9.5,0,0,0,0,9.5
"2026-03-14","LogOX Forester Package",5,1975,-45,0,1930,0,0,0,0,1930
"2026-03-14","LogOX Can Cooler",9,0,0,0,0,0,0,0,0,0
"2026-03-14","Show Chainlocker Pro",1,50,0,0,50,0,0,0,0,50
"2026-03-14","LogOX Hauler Upgrade Package*",1,94.95,0,0,94.95,0,0,0,0,94.95
"2026-03-14","PICKOX TIP REPLACEMENT",2,13.9,0,0,13.9,0,0,0,0,13.9
"2026-03-14","Hearth Bin Adjustable Firewood Rack",1,150,0,0,150,0,0,0,0,150
"2026-03-14","LogOX 3-in-1 Forestry MultiTool",7,2023,-48.9,0,1974.1,0,0,0,0,1974.1
"2026-03-15","The Woodsman Bundle",1,328.95,0,0,328.95,0,0,0,0,328.95
"2026-03-15",,0,0,0,0,0,694.95,0,0,0,694.95
"2026-03-15","LogOX Hauler",3,585,-19.5,0,565.5,0,0,0,15.36,580.86
"2026-03-15","LogOX 3-in-1 Forestry MultiTool",6,1734,-8.52,0,1725.48,0,0,0,17.34,1742.82
"2026-03-15","LogOX Forester Package",6,2370,-19.82,0,2350.18,0,0,0,0,2350.18
"2026-03-15","Team LogOX Sticker",11,0,0,0,0,0,0,0,0,0
"2026-03-15","LogOX Hat",2,0,0,0,0,0,0,0,0,0
"2026-03-15","Candle and Lamp Oil- 2 pack.",1,27.95,0,0,27.95,0,0,0,0,27.95
"2026-03-15","TW Series 4-Way Wedge",1,295,0,0,295,0,0,0,0,295
"2026-03-15","TimberOX Summit Dan-D-Lift Manual Log Lift",1,850,0,0,850,0,0,0,0,850
"2026-03-15","PickOX Pickaroon Attachment",1,49.95,-1.48,0,48.47,0,0,0,0,48.47
"2026-03-15","Granberg Alaskan Mill Backcountry Bundle 36in",1,629.5,0,0,629.5,0,0,0,0,629.5
"2026-03-15","LogOX Can Cooler",10,0,0,0,0,0,0,0,0,0
"2026-03-15","Set of (3) LogOX Swing-Lock Connection Pins",1,9.5,0,-9.5,0,0,0,0,0,0
"2026-03-15","PICKOX TIP REPLACEMENT",1,6.95,-0.18,0,6.77,0,0,0,0,6.77
"2026-03-15","TimberOX Summit 30-Ton Log Splitter",1,5995,0,0,5995,0,0,0,0,5995
"2026-03-16","LogOX Can Cooler",4,0,0,0,0,0,0,0,0,0
"2026-03-16","PickOX Pickaroon Attachment",1,49.95,-4.99,0,44.96,0,0,0,0,44.96
"2026-03-16","The Woodhaven Heavy Duty Poker",1,64,-3.5,0,60.5,0,0,0,0,60.5
"2026-03-16","The Fireside Bundle",1,229,-10,0,219,0,0,0,0,219
"2026-03-16","LogOX Hauler",2,390,0,0,390,0,0,0,0,390
"2026-03-16",,0,0,0,0,0,10,0,0,0.6,10.6
"2026-03-16","The Mingo Marker",1,37.99,0,0,37.99,0,0,0,0,37.99
"2026-03-16","Team LogOX Sticker",4,0,0,0,0,0,0,0,0,0
"2026-03-16","Team LogOX Hat",2,50,-50,0,0,0,0,0,0,0
"2026-03-16","LogOX Hat",1,0,0,0,0,0,0,0,0,0
"2026-03-16","The Woodhaven 4 x 2 Firewood Rack and cover",1,432,0,0,432,0,0,0,25.92,457.92
"2026-03-16","PICKOX TIP REPLACEMENT",1,20.85,0,0,20.85,0,0,0,1.25,22.1
"2026-03-16","The Woodhaven 3ft Firewood Rack",1,119,-6.5,0,112.5,0,0,0,0,112.5
"2026-03-16","Hearth Bin Adjustable Firewood Rack",1,150,-150,0,0,0,0,0,0,0
"2026-03-16","LogOX 3-in-1 Forestry MultiTool",4,1156,-289,0,867,0,0,0,0,867
"2026-03-17","LogOX Can Cooler",9,0,0,0,0,0,0,0,0,0
"2026-03-17","CarryOX Gear Bag*",1,64.95,-2.99,0,61.96,0,0,0,0,61.96
"2026-03-17","The Woodhaven 10ft Firewood Rack",1,279,0,0,279,0,0,0,0,279
"2026-03-17","LogOX Forester Package",3,1185,0,0,1185,0,0,0,0,1185
"2026-03-17","LogOX Forester Package Upgrade",1,135,-27,0,108,0,0,0,0,108
"2026-03-17","LogOX 3-in-1 Forestry MultiTool",6,1734,-30,0,1704,0,0,0,0,1704
"2026-03-17","TimberOX Summit Dan-D-Lift Manual Log Lift",1,850,-10,-840,0,0,0,0,0,0
"2026-03-17","PickOX Pickaroon Attachment",2,99.9,-5.56,0,94.34,0,0,0,0,94.34
"2026-03-17","Team LogOX Sticker",10,0,0,0,0,0,0,0,0,0
"2026-03-17","LogOX Hauler",3,585,-9.01,0,575.99,0,0,0,0,575.99
"2026-03-17","WoodOX Sling",1,89.95,0,0,89.95,0,0,0,0,89.95
"2026-03-17","LogOX Cant Handle Extension",1,39.95,-4.44,0,35.51,0,0,0,0,35.51
"2026-03-17","LogOX Hat",1,0,0,0,0,0,0,0,0,0
"2026-03-17",,0,0,0,0,0,20,0,0,0,20
"2026-03-18","Bigfoot Timberjack Attachment and Swing-Lock Pins",1,55,0,0,55,0,0,0,0,55
"2026-03-18","LogOX 3-in-1 Forestry MultiTool",3,867,-10,0,857,0,0,0,0,857
"2026-03-18","LogOX Hauler Upgrade Package",1,94.95,-9.49,0,85.46,0,0,0,0,85.46
"2026-03-18","LogOX Can Cooler",5,0,0,0,0,0,0,0,0,0
"2026-03-18","LogOX Hauler",3,585,-19.5,0,565.5,0,0,0,0,565.5
"2026-03-18","WoodOX Sling",2,179.9,-89.95,0,89.95,0,0,0,0,89.95
"2026-03-18","LogOX Hat",2,0,0,0,0,0,0,0,0,0
"2026-03-18","LogOX Forester Package",3,1185,-20,0,1165,0,0,0,0,1165
"2026-03-18",,0,0,0,0,0,30,0,0,0,30
"2026-03-18","LogOX Hauler Holster",1,79.9,-7.99,0,71.91,0,0,0,0,71.91
"2026-03-18","Team LogOX Sticker",4,0,0,0,0,0,0,0,0,0
"2026-03-19",,0,0,0,-60.74,-60.74,484.73,0,0,0,423.99
"2026-03-19","The Woodhaven 2ft Firewood Rack",1,131,0,0,131,0,0,0,0,131
"2026-03-19","Granberg Precision Grinder (12V)",1,109,0,0,109,0,0,0,0,109
"2026-03-19","LogOX Can Cooler",12,0,0,0,0,0,0,0,0,0
"2026-03-19","TimberOX Summit 30-Ton Log Splitter",1,5995,0,0,5995,0,0,0,0,5995
"2026-03-19","Chain Locker Original",1,70,0,0,70,0,0,0,0,70
"2026-03-19","LogOX 3-in-1 Forestry MultiTool",11,3468,-398.8,0,3069.2,0,0,0,0,3069.2
"2026-03-19","LogOX Forester Package Upgrade",0,135,-27,0,108,0,0,0,0,108
"2026-03-19","LogOX Forester Package",5,1975,-10,0,1965,0,0,0,0,1965
"2026-03-19","Team LogOX Sticker",12,0,0,0,0,0,0,0,0,0
"2026-03-19","LogOX Hat",2,0,0,0,0,0,0,0,0,0
"2026-03-19","TimberOX Summit Dan-D-Lift Manual Log Lift",1,850,0,0,850,0,0,0,0,850
"2026-03-19","LogOX Hauler",1,195,0,0,195,0,0,0,0,195
"2026-03-19","TW Series 4-Way Wedge",1,295,0,0,295,0,0,0,0,295
"2026-03-19","LogOX 3-in-1 Forestry MultiTool*",1,289,-289,0,0,0,0,0,0,0
"2026-03-20","LogOX Forester Package",3,1185,-395,0,790,0,0,0,0,790
"2026-03-20","LogOX Hauler Holster",2,79.9,-13.15,0,66.75,0,0,0,0,66.75
"2026-03-20","LogOX 3-in-1 Forestry MultiTool",8,2312,-77.8,0,2234.2,0,0,0,0,2234.2
"2026-03-20","LogOX Can Cooler",10,0,0,0,0,0,0,0,0,0
"2026-03-20",,0,0,0,0,0,14.82,0,0,0.3,15.12
"2026-03-20","PickOX Pickaroon Attachment",0,0,0,-49.95,-49.95,0,0,0,0,-49.95
"2026-03-20","LogOX Sticker",1,1,-1,0,0,0,0,0,0,0
"2026-03-20","LogOX Hat",1,0,0,0,0,0,0,0,0,0
"2026-03-20","Granberg Precision Grinder (12V)",1,109,0,0,109,0,0,0,0,109
"2026-03-20","Mingo Marker Trigger",1,9.99,0,0,9.99,0,0,0,0.6,10.59
"2026-03-20","Team LogOX Sticker",10,0,0,0,0,0,0,0,0,0
"2026-03-20","CarryOX Gear Bag",1,64.95,-8.39,0,56.56,0,0,0,0,56.56
"2026-03-20","PickOX Pickaroon Attachment*",1,49.95,-6.45,0,43.5,0,0,0,0,43.5
"2026-03-20","LogOX Hauler",5,975,-10,0,965,0,0,0,0,965
"2026-03-21","PickOX Pickaroon Attachment",1,49.95,-49.95,0,0,0,0,0,0,0
"2026-03-21","The Woodhaven 4ft Firewood Rack",1,208.95,0,0,208.95,0,0,0,0,208.95
"2026-03-21","LogOX Can Cooler",7,0,0,0,0,0,0,0,0,0
"2026-03-21","LogOX Forester Package",2,790,-39.5,0,750.5,0,0,0,0,750.5
"2026-03-21",,0,0,0,-175.17,-175.17,33.97,0,0,0,-141.2
"2026-03-21","Chain Locker Pro Series",1,65,0,0,65,0,0,0,0,65
"2026-03-21","The Mingo Marker",1,37.99,0,0,37.99,0,0,0,0,37.99
"2026-03-21","LogOX Hauler",2,390,0,0,390,0,0,0,0,390
"2026-03-21","CarryOX Gear Bag",1,64.95,0,0,64.95,0,0,0,0,64.95
"2026-03-21","Team LogOX Sticker",8,0,0,0,0,0,0,0,0,0
"2026-03-21","LogOX Forester Package Upgrade",1,135,-27,0,108,0,0,0,0,108
"2026-03-21","LogOX 3-in-1 Forestry MultiTool",7,2023,-20,0,2003,0,0,0,0,2003
"2026-03-21","Candle and Lamp Oil- 2 pack.",1,27.95,0,0,27.95,0,0,0,0,27.95
"2026-03-22","The Woodhaven 2ft Firewood Rack",1,131,0,0,131,0,0,0,0,131
"2026-03-22","Original & Pro Series Combo Pack",1,95,-10,0,85,0,0,0,0,85
"2026-03-22","LogOX Hat",1,0,0,0,0,0,0,0,0,0
"2026-03-22","LogOX Can Cooler",9,0,0,0,0,0,0,0,0,0
"2026-03-22","Set of (3) LogOX Swing-Lock Connection Pins",1,9.5,-0.95,0,8.55,0,0,0,0,8.55
"2026-03-22","LogOX Forester Package Upgrade",1,135,0,0,135,0,0,0,0,135
"2026-03-22","LogOX 3-in-1 Forestry MultiTool",8,2601,-30,0,2571,0,0,0,0,2571
"2026-03-22","LogOX Hauler Upgrade Package",1,94.95,0,0,94.95,0,0,0,12.34,107.29
"2026-03-22","LogOX Forester Package",5,1975,-20,0,1955,0,0,0,0,1955
"2026-03-22","Team LogOX Sticker",9,0,0,0,0,0,0,0,0,0
"2026-03-22","Granberg Precision Grinder (12V)",1,109,0,0,109,0,0,0,0,109
"2026-03-22","LogOX Hauler",2,390,-12,0,378,0,0,0,0,378
"2026-03-22",,0,0,0,0,0,107.25,0,0,5.86,113.11
"2026-03-22","PickOX Pickaroon Attachment",2,99.9,0,0,99.9,0,0,0,0,99.9
"2026-03-23","LogOX 3-in-1 Forestry MultiTool*",1,289,-289,0,0,0,0,0,0,0
"2026-03-23",,0,0,0,0,0,23.05,0,0,0,23.05
"2026-03-23","Granberg Precision Grinder (12V)",1,109,-10,0,99,0,0,0,0,99
"2026-03-23","LogOX Hauler Upgrade Package*",1,94.95,0,0,94.95,0,0,0,0,94.95
"2026-03-23","LogOX 3-in-1 Forestry MultiTool",10,2890,-67.8,0,2822.2,0,0,0,17.34,2839.54
"2026-03-23","LogOX Can Coolers (4 pack)",1,4.95,0,0,4.95,0,0,0,0,4.95
"2026-03-23","LogOX Can Cooler",13,0,0,0,0,0,0,0,0,0
"2026-03-23","LogOX Hauler Holster*",1,39.95,-39.95,0,0,0,0,0,0,0
"2026-03-23","LogOX Hauler",4,780,-195,0,585,0,0,0,0,585
"2026-03-23","WoodOX Sling",1,89.95,-89.95,0,0,0,0,0,0,0
"2026-03-23","The Woodsman Bundle",1,328.95,0,0,328.95,0,0,0,0,328.95
"2026-03-23","LogOX Forester Package",5,1975,0,0,1975,0,0,0,0,1975
"2026-03-23","LogOX Hauler Holster",0,39.95,-7.99,0,31.96,0,0,0,0,31.96
"2026-03-23","Team LogOX Sticker",14,0,0,0,0,0,0,0,0,0
"2026-03-23","CarryOX Gear Bag",2,129.9,0,0,129.9,0,0,0,0,129.9
"2026-03-24","LogOX Hauler Upgrade Package*",1,94.95,0,0,94.95,0,0,0,0,94.95
"2026-03-24","LogOX Hauler Holster",0,0,0,-39.95,-39.95,0,0,0,0,-39.95
"2026-03-24","LogOX Forester Package",3,1185,-39.5,0,1145.5,0,0,0,0,1145.5
"2026-03-24","LogOX 3-in-1 Forestry MultiTool",9,2601,-337.9,0,2263.1,0,0,0,0,2263.1
"2026-03-24","LogOX Forester Package Upgrade",0,135,-27,0,108,0,0,0,0,108
"2026-03-24","TW Series 4-Way Wedge",2,590,0,0,590,0,0,0,0,590
"2026-03-24","LogOX Hauler",6,1170,-400,0,770,0,0,0,0,770
"2026-03-24","TimberOX Summit Tongue Jack",2,130,0,0,130,0,0,0,0,130
"2026-03-24","Team LogOX Sticker",10,0,0,0,0,0,0,0,0,0
"2026-03-24","The Woodhaven 2ft Firewood Rack",1,94,0,0,94,0,0,0,0,94
"2026-03-24","TimberOX Summit Dan-D-Lift Manual Log Lift",2,1700,0,0,1700,0,0,0,0,1700
"2026-03-24","Mingo Marker Trigger",1,19.98,0,0,19.98,0,0,0,0,19.98
"2026-03-24","TimberOX Summit 30-Ton Log Splitter",2,11990,0,0,11990,0,0,0,0,11990
"2026-03-24","LogOX Can Cooler",10,0,0,0,0,0,0,0,0,0
"2026-03-24",,0,0,0,-10,-10,204.98,0,0,0,194.98
"2026-03-25","PickOX Pickaroon Attachment",1,49.95,0,0,49.95,0,0,0,0,49.95
"2026-03-25","Team LogOX Sticker",11,0,0,0,0,0,0,0,0,0
"2026-03-25","CarryOX Gear Bag",1,64.95,0,0,64.95,0,0,0,0,64.95
"2026-03-25","LogOX Hat",1,0,0,0,0,0,0,0,0,0
"2026-03-25","The Mingo Marker",1,75.98,-10,0,65.98,0,0,0,0,65.98
"2026-03-25","WoodOX Sling*",0,0,0,-89.95,-89.95,0,0,0,-6.3,-96.25
"2026-03-25","WoodOX Sling",1,89.95,-89.95,0,0,0,0,0,0,0
"2026-03-25","LogOX Hauler",3,585,0,0,585,0,0,0,0,585
"2026-03-25","Chain Locker Original",1,38,0,0,38,0,0,0,0,38
"2026-03-25",,0,0,0,0,0,20.68,0,0,0,20.68
"2026-03-25","The LogOX Ultimate Bundle",1,594,-12,0,582,0,0,0,0,582
"2026-03-25","LogOX Can Cooler",11,0,0,0,0,0,0,0,0,0
"2026-03-25","LogOX Forester Package Upgrade",1,135,-27,0,108,0,0,0,0,108
