Start Date,End Date,Portfolio name,Campaign Type,Campaign Name,Retailer,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-through rate (CTR),Spend,Last Year Spend,Cost per click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),"Total Advertising Cost of Sales (ACOS) ",Total Return on Advertising Spend (ROAS),7 Day Total Sales
"Feb 01, 2026","Mar 16, 2026",Jars,Sponsored Products,NM - SP - STR - Exact - Jars - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Dynamic bids – down only,24,,2,,8.333%,$5.31,,$2.655,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 19, 2026",Jars,Sponsored Products,NM - SP - STR - Phrase - Jars - Jan 2026,Amazon,United States,ENABLED,USD,$70.0,Manual targeting,Dynamic bids – down only,10905,,87,,0.7979999999999999%,$244.49,,$2.8102299,$0.0,14,46.842%,2.13,$521.95
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - STR - 4 Pack - PT - B0DJ3J2CKX - Jan 2026,Amazon,United States,PAUSED,USD,$150.0,Manual targeting,Dynamic bids – down only,915,,15,,1.6389999999999998%,$11.55,,$0.77,$0.0,2,77.517%,1.29,$14.9
"Feb 01, 2026","Mar 13, 2026",Sachets,Sponsored Products,NM  - SP - STR - 12 Pack - PT - B0DY6K7RQH - Jan 2026,Amazon,United States,PAUSED,USD,$150.0,Manual targeting,Dynamic bids – down only,1288,,25,,1.941%,$29.81,,$1.1924,$0.0,1,199.398%,0.5,$14.95
"Feb 01, 2026","Mar 18, 2026",Sachets,Sponsored Products,NM - SP - STR - PT - Jars - Jan 2026,Amazon,United States,PAUSED,USD,$70.0,Manual targeting,Dynamic bids – down only,166,,1,,0.602%,$2.03,,$2.03,$0.0,1,4.516%,22.14,$44.95
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - STR - 4 Pack - PT 1 - B0DJ3J2CKX - Jan 2026,Amazon,United States,PAUSED,USD,$15.0,Manual targeting,Dynamic bids – down only,627,,13,,2.073%,$10.05,,$0.7730769,$0.0,1,203.03%,0.49,$4.95
"Feb 01, 2026","Mar 13, 2026",Sachets,Sponsored Products,NM  - SP - STR - 12 Pack - PT 1 - B0DY6K7RQH - Jan 2026,Amazon,United States,PAUSED,USD,$15.0,Manual targeting,Dynamic bids – down only,365,,5,,1.37%,$5.16,,$1.032,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 18, 2026",Sachets,Sponsored Products,NM - SP - STR - PT 1 - Jars - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Dynamic bids – down only,100,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 04, 2026",Sachets,Sponsored Products,NM  - SP - STR - 4 Pack - PT 2 - B0DJ3J2CKX - Jan 2026,Amazon,United States,PAUSED,USD,$15.0,Manual targeting,Dynamic bids – down only,531,,10,,1.883%,$8.4,,$0.84,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 13, 2026",Sachets,Sponsored Products,NM  - SP - STR - 12 Pack - PT 2 - B0DY6K7RQH - Jan 2026,Amazon,United States,ENABLED,USD,$70.0,Manual targeting,Dynamic bids – down only,1000,,19,,1.9%,$35.39,,$1.8626316,$0.0,5,32.246%,3.1,$109.75
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - STR - PT 2 - Jars - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Dynamic bids – down only,30,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 04, 2026",Sachets,Sponsored Products,NM  - SP - STR - 4 Pack - PT 3 - B0DJ3J2CKX - Jan 2026,Amazon,United States,PAUSED,USD,$15.0,Manual targeting,Dynamic bids – down only,581,,7,,1.205%,$7.01,,$1.0014286,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 13, 2026",Sachets,Sponsored Products,NM  - SP - STR - 12 Pack - PT 3 - B0DY6K7RQH - Jan 2026,Amazon,United States,PAUSED,USD,$150.0,Manual targeting,Dynamic bids – down only,16216,,5,,0.031%,$6.92,,$1.3840000000000001,$0.0,1,46.288000000000004%,2.16,$14.95
"Feb 08, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - STR - PT 3 - Jars - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Dynamic bids – down only,8,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - STR - 4 Pack - PT 4 - B0DJ3J2CKX - Jan 2026,Amazon,United States,PAUSED,USD,$70.0,Manual targeting,Dynamic bids – down only,706,,8,,1.133%,$9.64,,$1.205,$0.0,2,48.442%,2.06,$19.9
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - STR - 12 Pack - PT 4 - B0DY6K7RQH - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Dynamic bids – down only,774,,10,,1.2919999999999998%,$19.06,,$1.906,$0.0,1,191.558%,0.52,$9.95
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - STR - PT 4 - Jars - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Dynamic bids – down only,29,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - STR - 4 Pack - PT 5 - B0DJ3J2CKX - Jan 2026,Amazon,United States,PAUSED,USD,$15.0,Manual targeting,Dynamic bids – down only,128,,2,,1.5630000000000002%,$2.31,,$1.155,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 13, 2026",Sachets,Sponsored Products,NM  - SP - STR - 12 Pack - PT 5 - B0DY6K7RQH - Jan 2026,Amazon,United States,PAUSED,USD,$150.0,Manual targeting,Dynamic bids – down only,119,,5,,4.202%,$14.31,,$2.862,$0.0,1,35.865%,2.79,$39.9
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - STR - PT 5 - Jars - Jan 2026,Amazon,United States,PAUSED,USD,$150.0,Manual targeting,Dynamic bids – down only,494,,19,,3.846%,$92.17,,$4.8510526,$0.0,2,192.422%,0.52,$47.9
"Feb 01, 2026","Mar 04, 2026",Sachets,Sponsored Products,NM  - SP - STR - 4 Pack - PT 6 - B0DJ3J2CKX - Jan 2026,Amazon,United States,PAUSED,USD,$15.0,Manual targeting,Dynamic bids – down only,75,,3,,4.0%,$4.35,,$1.45,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - STR - 12 Pack - PT 6 - B0DY6K7RQH - Jan 2026,Amazon,United States,PAUSED,USD,$150.0,Manual targeting,Dynamic bids – down only,146,,5,,3.4250000000000003%,$7.64,,$1.528,$0.0,2,25.552000000000003%,3.91,$29.9
"Feb 01, 2026","Mar 14, 2026",Jars,Sponsored Products,NM - SP - STR - PT 6 - Jars - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Dynamic bids – down only,24,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - STR - 4 Pack - PT 7 - B0DJ3J2CKX - Jan 2026,Amazon,United States,PAUSED,USD,$15.0,Manual targeting,Dynamic bids – down only,317,,17,,5.3629999999999995%,$19.81,,$1.1652940999999999,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 13, 2026",Sachets,Sponsored Products,NM  - SP - STR - 12 Pack - PT 7 - B0DY6K7RQH - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Dynamic bids – down only,191,,4,,2.094%,$7.0,,$1.75,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - STR - PT 7 - Jars - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Dynamic bids – down only,44,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - GPT - 4 Pack - Exact - B0DJ3J2CKX - Jan 2026,Amazon,United States,PAUSED,USD,$250.0,Manual targeting,Dynamic bids – down only,5179,,63,,1.216%,$85.33,,$1.3544443999999998,$0.0,5,147.75799999999998%,0.68,$57.75
"Feb 01, 2026","Mar 04, 2026",Sachets,Sponsored Products,NM  - SP - GPT - 12 Pack - Exact - B0DY6K7RQH - Jan 2026,Amazon,United States,PAUSED,USD,$150.0,Manual targeting,Dynamic bids – down only,9351,,74,,0.791%,$128.38,,$1.7348649,$0.0,3,368.379%,0.27,$34.85
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - GPT - 4 Pack - Phrase - B0DJ3J2CKX - Jan 2026,Amazon,United States,PAUSED,USD,$15.0,Manual targeting,Dynamic bids – down only,792,,12,,1.5150000000000001%,$10.99,,$0.9158333000000001,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 05, 2026",Sachets,Sponsored Products,NM  - SP - GPT - 12 Pack - Phrase - B0DY6K7RQH - Jan 2026,Amazon,United States,PAUSED,USD,$15.0,Manual targeting,Dynamic bids – down only,2943,,10,,0.33999999999999997%,$9.02,,$0.902,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 17, 2026",Stick Packs,Sponsored Products,NM - SP - Phrase - Branded - Stick Packs - Multi - Jan 2026,Amazon,United States,ENABLED,USD,$70.0,Manual targeting,Fixed bids,567,,12,,2.116%,$24.03,,$2.0025,$0.0,8,7.4510000000000005%,13.42,$322.5
"Feb 01, 2026","Mar 18, 2026",Stick Packs,Sponsored Products,NM - SP - PT - Stick Packs - Multi - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Fixed bids,113,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 18, 2026",Stick Packs,Sponsored Products,NM - SP - PT 1 - Stick Packs - Multi - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Fixed bids,72,,1,,1.389%,$2.4,,$2.4,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 18, 2026",Stick Packs,Sponsored Products,NM - SP - PT 2 - Stick Packs - Multi - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Fixed bids,78,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 18, 2026",Stick Packs,Sponsored Products,NM - SP - PT 3 - Stick Packs - Multi - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Fixed bids,93,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 18, 2026",Stick Packs,Sponsored Products,NM - SP - PT 4 - Stick Packs - Multi - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Fixed bids,48,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - STR - Exact 1 - Jars - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Dynamic bids – down only,2941,,6,,0.20400000000000001%,$20.1,,$3.35,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 18, 2026",Jars,Sponsored Products,NM - SP - STR - Exact 2 - Jars - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Dynamic bids – down only,965,,2,,0.207%,$7.79,,$3.895,$0.0,0,0.0%,0.0,$0.0
"Feb 01, 2026","Mar 17, 2026",Jars,Sponsored Products,NM - SP - STR - Exact 3 - Jars - Jan 2026,Amazon,United States,PAUSED,USD,$40.0,Manual targeting,Dynamic bids – down only,626,,2,,0.319%,$7.5,,$3.75,$0.0,0,0.0%,0.0,$0.0
"Feb 10, 2026","Mar 18, 2026",Bottel,Sponsored Products,NM - SP - Exact - Branded - Bottle - B0GKB943TS - Feb 2026,Amazon,United States,PAUSED,USD,$70.0,Manual targeting,Dynamic bids – down only,372,,3,,0.8059999999999999%,$2.75,,$0.9166667,$0.0,1,7.868%,12.71,$34.95
"Feb 10, 2026","Mar 16, 2026",Bottel,Sponsored Products,NM - SP - Phrase - Branded - Bottle - B0GKB943TS - Feb 2026,Amazon,United States,PAUSED,USD,$70.0,Manual targeting,Dynamic bids – down only,252,,2,,0.7939999999999999%,$2.99,,$1.495,$0.0,1,7.494000000000001%,13.34,$39.9
"Mar 02, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,NM - SP - Auto - All Products Test w/o Collagen - March 2026,Amazon,United States,ENABLED,USD,$70.0,Automatic targeting,Fixed bids,146366,,352,,0.24%,$649.57,,$1.8453693000000002,$0.0,41,39.548%,2.53,$1642.5
"Mar 02, 2026","Mar 18, 2026",No Portfolio,Sponsored Products,NM - SP - Phrase - All Products Test w/o Collagen - March 2026,Amazon,United States,PAUSED,USD,$70.0,Manual targeting,Dynamic bids – down only,65156,,142,,0.218%,$465.91,,$3.2810563000000004,$0.0,5,321.87199999999996%,0.31,$144.75
"Mar 02, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,MN - SP - Phrase - Branded - Test w/o Collagen - March 2026,Amazon,United States,ENABLED,USD,$70.0,Manual targeting,Dynamic bids – down only,2334,,49,,2.099%,$54.81,,$1.1185714,$0.0,18,5.718%,17.49,$958.55
"Mar 16, 2026","Mar 18, 2026",Stick Packs,Sponsored Products,AUTO TEST MARCH 17 26,Amazon,United States,PAUSED,USD,$100.0,Automatic targeting,Dynamic bids – up and down,41271,,70,,0.16999999999999998%,$420.1,,$6.001428600000001,$0.0,4,300.501%,0.33,$139.8
"Mar 19, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,PERPETUA TEST - Perpetua - SP - Competitor Manual - th07fl47,Amazon,United States,ENABLED,USD,$25.0,Manual targeting,Dynamic bids – down only,3,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,PERPETUA TEST - Perpetua - SP - Auto - th07fl47,Amazon,United States,ENABLED,USD,$16.67,Automatic targeting,Dynamic bids – down only,5121,,5,,0.098%,$5.83,,$1.166,$0.0,1,16.681%,5.99,$34.95
"Mar 18, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,PERPETUA TEST - Perpetua - SP - Manual - th07fl47,Amazon,United States,ENABLED,USD,$33.33,Manual targeting,Dynamic bids – down only,1019,,2,,0.196%,$7.84,,$3.92,$0.0,0,0.0%,0.0,$0.0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,PERPETUA TEST - Perpetua - SP - PAT - th07fl47,Amazon,United States,ENABLED,USD,$25.0,Manual targeting,Dynamic bids – down only,311,,1,,0.322%,$1.55,,$1.55,$0.0,1,3.4479999999999995%,29.0,$44.95
"Mar 19, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,PERPETUA TEST - Perpetua - SP - Branded Pat - th07fl47,Amazon,United States,ENABLED,USD,$25.0,Manual targeting,Dynamic bids – down only,2,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,PERPETUA TEST - Perpetua - SP - Branded Manual - th07fl47,Amazon,United States,ENABLED,USD,$25.0,Manual targeting,Dynamic bids – down only,104,,6,,5.769%,$6.95,,$1.1583333,$0.0,1,19.886%,5.03,$34.95
"Mar 18, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,PERPETUA - STICKS - Perpetua - SP - Branded Manual - tzm4t6x8,Amazon,United States,ENABLED,USD,$25.0,Manual targeting,Dynamic bids – down only,147,,10,,6.802999999999999%,$6.63,,$0.6629999999999999,$0.0,0,0.0%,0.0,$0.0
"Mar 19, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,PERPETUA - STICKS - Perpetua - SP - Manual - tzm4t6x8,Amazon,United States,ENABLED,USD,$33.33,Manual targeting,Dynamic bids – down only,31,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,PERPETUA - STICKS - Perpetua - SP - Competitor Manual - tzm4t6x8,Amazon,United States,ENABLED,USD,$25.0,Manual targeting,Dynamic bids – down only,5,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
"Mar 18, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,PERPETUA - STICKS - Perpetua - SP - Auto - tzm4t6x8,Amazon,United States,ENABLED,USD,$16.67,Automatic targeting,Dynamic bids – down only,755,,3,,0.39699999999999996%,$3.04,,$1.0133333,$0.0,0,0.0%,0.0,$0.0
"Mar 19, 2026","Mar 19, 2026",No Portfolio,Sponsored Products,PERPETUA - STICKS - Perpetua - SP - PAT - tzm4t6x8,Amazon,United States,ENABLED,USD,$25.0,Manual targeting,Dynamic bids – down only,697,,0,,0.0%,$0.0,,$0.0,$0.0,0,0.0%,0.0,$0.0
